Nombre,Gerencia área / area,Especialidad,Gerencia ACL,Asesor HSW,Ene,feb,mar,Abr,May,Jun,Jul,Ago,Sept,Oct,Nov,Dic
Usuario 179,Engineering,"Civil, Relaves e Hidraulica",Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 180,Control de Proyectos / Control de Documentos,Control de Documentos,BA Operations,Asesor 1,,,,,,,,,,,,
Usuario 181,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 182,Consulting and Sustainability,Gestion de Recursos Hidricos y Remediacion,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 183,Execution,Mecanica - Piping,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 184,Engineering,Sistemas de Ingenieria BIM,Technical & Execution,Asesor 1,,,,1.0,,,,,,,,
Usuario 185,Execution,Estructuras y Arquitectura,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 186,People,People,People,Asesor 1,,,,,,,,,,,,
Usuario 187,Engineering,"Civil, Relaves e Hidraulica",Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 188,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 189,Controlling,BUC,Finance,Asesor 1,,,,,,,,,,,,
Usuario 190,Accounting,Contabilidad,Finance,Asesor 1,,,,,,,,,,,,
Usuario 191,Control de Proyectos / Control de Documentos,Control de Documentos,BA Operations,Asesor 1,,,,,,,,,,,,
Usuario 192,Engineering,"Civil, Relaves e Hidraulica",Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 193,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 194,Technical & Execution,Consultants,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 195,Execution,Estimaciones y Constructibilidad,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 196,Execution,Estructuras y Arquitectura,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 197,Consulting and Sustainability,Estudios Sociales y Estandares Internacionales,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 198,Engineering,"Civil, Relaves e Hidraulica",Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 199,Execution,Mecanica - Piping,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 200,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 201,Execution,Estructuras y Arquitectura,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 202,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 203,Consulting and Sustainability,Geologia,Technical & Execution,Asesor 1,,,,,,,X,,,,,
